Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Passed
S00071,11.80,74.90,71.40,Yes
S00072,17.70,45.80,70.80,Yes
S00073,9.80,70.50,71.70,No
S00074,17.80,98.40,74.00,Yes
S00075,-3.10,37.30,43.10,Yes
S00076,14.10,73.10,72.70,Yes
S00077,10.40,86.50,67.80,Yes
S00078,8.50,128.00,55.70,Yes
S00079,10.50,99.20,66.60,Yes
S00080,0.10,77.70,63.40,Yes
S00081,8.90,85.40,64.70,Yes
S00082,11.80,37.00,67.60,Yes
S00083,17.40,,39.80,No
S00084,7.40,,68.90,nan
S00085,6.00,78.20,74.80,Yes
S00086,7.50,80.80,68.70,Yes
S00087,14.60,75.70,54.10,No
S00088,11.60,74.90,52.10,No
S00089,7.40,77.10,67.70,Yes
S00090,12.60,53.90,77.00,No
S00091,10.50,70.40,84.60,No
S00092,14.80,,76.50,Yes
S00093,6.50,62.60,72.70,Yes
S00094,8.40,98.90,26.90,Yes
S00095,8.00,71.40,,No
S00096,2.70,86.90,,No
S00097,11.50,77.30,54.80,Yes
S00098,11.30,67.30,200.00,Yes
S00099,10.00,54.80,49.10,Yes
S00100,8.80,67.00,91.50,No
S00101,2.90,78.70,45.50,nan
S00102,7.90,86.60,61.80,No
S00103,,77.40,54.10,Yes
S00104,6.00,88.00,52.00,No
S00105,9.20,44.60,71.20,Yes
S00106,12.00,92.30,77.30,Yes
S00107,19.40,52.40,47.30,Yes
S00108,10.90,94.70,65.80,Yes
S00109,11.30,,63.30,Yes
S00110,9.60,37.60,58.20,Yes
S00111,,89.70,51.00,No
S00112,9.90,94.90,81.60,No
S00113,10.30,100.20,49.50,Yes
S00114,22.30,59.60,45.50,No
S00115,9.00,78.60,81.50,Yes
S00116,11.50,88.90,68.00,Yes
S00117,9.80,89.70,47.30,nan
S00118,4.20,83.20,63.80,Yes
S00119,15.70,66.50,55.60,Yes
S00120,13.80,94.80,87.30,Yes
S00121,14.00,94.90,61.40,Yes
S00122,5.50,71.90,73.00,Yes
S00123,17.00,59.30,64.70,No
S00124,3.00,,86.60,No
S00125,12.90,102.30,68.10,Yes
S00126,21.00,94.00,82.40,No
S00127,,74.60,73.10,No
S00128,7.20,71.00,56.70,Yes
S00129,10.50,39.60,65.00,Yes
S00130,7.50,73.30,61.80,Yes
S00131,2.20,51.20,56.40,No
S00132,10.30,78.20,48.80,No
S00133,4.70,98.70,85.40,Yes
S00134,12.40,55.40,34.10,No
S00135,5.40,79.80,85.00,No
S00136,17.70,95.00,44.90,Yes
S00137,6.10,79.40,73.10,Yes
S00138,8.40,64.50,56.20,Yes
S00139,14.10,75.20,40.00,Yes
S00140,3.80,94.10,82.20,Yes
S00141,11.10,80.30,29.00,Yes
S00142,16.50,74.90,76.90,No
S00143,2.00,98.10,66.90,Yes
S00144,10.90,85.30,80.80,Yes
S00145,11.30,50.90,74.40,Yes
S00146,13.90,87.60,74.20,No
S00147,3.80,94.00,78.50,Yes
S00148,3.40,50.30,,No
S00149,12.60,29.60,,No
S00150,11.50,54.20,60.00,No
S00151,11.30,73.00,61.60,Yes
S00152,11.70,95.20,66.60,Yes
S00153,6.60,57.20,61.00,nan
S00154,11.20,86.10,97.80,Yes
S00155,11.50,17.20,63.70,No
S00156,6.40,78.60,47.80,No
S00157,19.30,66.90,63.20,No
S00158,12.40,117.00,52.40,No
S00159,4.00,37.20,94.40,Yes
S00160,,,66.50,Yes
S00161,5.10,37.00,74.50,No
S00162,13.90,64.00,72.70,Yes
S00163,15.80,41.00,79.20,Yes
S00164,5.90,121.00,68.60,No
S00165,14.80,67.90,59.00,nan
S00166,12.10,70.80,65.70,No
S00167,14.10,74.10,46.60,No
S00168,19.50,52.40,,nan
S00169,8.80,96.10,91.90,No
S00170,6.20,87.80,76.00,No
S00171,5.60,93.40,63.40,No
S00172,5.90,50.60,,Yes
S00173,9.60,97.70,55.90,No
S00174,11.70,95.40,70.10,Yes
S00175,11.40,70.40,60.50,No
S00176,14.10,92.90,61.90,No
S00177,10.10,80.50,70.90,Yes
S00178,17.30,43.10,73.60,Yes
S00179,8.70,71.30,62.00,Yes
S00180,,65.40,52.50,Yes
S00181,13.10,76.70,92.50,Yes
S00182,5.70,95.40,66.50,Yes
S00183,4.60,,49.40,No
S00184,12.40,66.10,49.70,No
S00185,8.90,58.60,94.90,No
S00186,13.60,59.40,102.00,No
S00187,12.40,58.50,70.00,No
S00188,9.60,76.40,55.80,Yes
S00189,5.80,85.50,,Yes
S00190,2.40,82.00,60.40,Yes
S00191,7.80,78.70,73.60,nan
S00192,14.30,87.40,70.30,nan
S00193,11.10,122.60,64.50,Yes
S00194,3.80,77.70,63.70,Yes
S00195,10.90,95.40,61.70,No
S00196,11.90,94.30,79.20,No
S00197,5.60,110.60,62.10,No
S00198,10.80,86.20,95.80,Yes
S00199,10.30,58.10,97.20,Yes
S00200,,81.10,59.30,No
S00201,11.80,80.00,59.60,Yes
S00202,12.80,91.30,64.30,Yes
S00203,15.40,57.50,55.40,Yes
S00204,15.30,100.30,77.80,Yes
S00205,3.10,75.10,82.80,Yes
S00206,5.30,91.80,84.30,Yes
S00207,12.60,81.20,61.90,No
S00208,12.60,77.50,61.70,Yes
S00209,12.60,79.70,35.10,Yes
S00210,29.30,,55.10,Yes
S00211,12.90,114.20,51.00,No
S00212,15.70,34.70,48.40,No
S00213,14.80,85.80,57.70,nan
S00214,13.30,75.90,60.40,No
S00215,8.40,71.50,64.60,No
S00216,13.80,27.70,85.40,Yes
S00217,6.10,86.60,82.50,No
S00218,8.80,,48.10,nan
S00219,7.60,58.30,71.40,No
S00220,10.40,75.80,53.00,No
S00221,21.60,69.10,67.20,Yes
S00222,0.70,40.20,,Yes
S00223,13.40,76.80,57.70,Yes
S00224,1.90,86.60,50.20,Yes
S00225,7.60,64.00,65.80,Yes
S00226,15.40,80.20,84.80,Yes
S00227,10.30,77.20,95.10,Yes
S00228,4.60,95.90,55.80,No
S00229,6.40,72.90,67.00,Yes
S00230,,91.00,69.10,Yes
S00231,,68.70,43.70,No
S00232,11.10,114.30,42.90,No
S00233,10.20,66.30,69.90,No
S00234,6.70,61.30,59.40,No
S00235,20.70,73.00,44.00,No
S00236,13.20,60.40,,Yes
S00237,-0.10,50.00,65.90,No
S00238,10.90,89.60,65.20,No
S00239,6.70,13.70,48.60,No
S00240,14.30,60.60,39.40,No
S00241,6.00,48.20,56.00,No
S00242,9.40,77.80,65.70,No
S00243,12.50,31.20,54.40,No
S00244,14.30,86.00,48.50,Yes
S00245,4.00,,59.40,Yes
S00246,8.30,42.30,65.50,Yes
S00247,7.60,78.80,86.20,No
S00248,6.70,85.30,67.30,Yes
S00249,18.80,93.80,43.00,Yes
S00250,12.00,45.60,34.70,No
S00251,3.70,42.80,28.20,Yes
S00252,14.60,105.10,70.10,Yes
S00253,20.60,58.60,49.20,No
S00254,15.20,64.50,72.50,No
S00255,2.40,,,Yes
S00256,7.60,51.60,73.90,No
S00257,16.30,69.70,61.60,No
S00258,6.50,92.80,92.70,Yes
S00259,12.20,46.60,58.10,No
S00260,13.90,65.00,51.50,No
S00261,5.40,52.50,70.00,Yes
S00262,9.70,59.50,76.60,Yes
S00263,-6.20,98.70,26.20,Yes
S00264,4.90,103.10,81.70,No
S00265,8.70,80.20,40.60,Yes
S00266,3.80,85.60,34.20,Yes
S00267,18.20,85.10,59.80,No
S00268,2.80,61.60,49.10,Yes
S00269,7.80,79.80,71.20,No
S00270,10.70,49.10,70.30,Yes
S00271,17.20,55.80,69.60,No
S00272,2.80,73.30,83.40,Yes
S00273,15.80,53.80,60.30,No
S00274,10.10,49.50,70.50,nan
S00275,,60.80,40.00,Yes
S00276,12.30,97.90,79.40,Yes
S00277,11.00,106.10,57.50,Yes
S00278,7.00,74.30,60.70,No
S00279,10.30,86.60,59.90,Yes
S00280,8.10,63.70,63.50,No
S00281,10.60,33.70,59.50,No
S00282,13.30,57.10,32.50,No
S00283,17.90,,83.60,Yes
S00284,3.80,77.80,55.20,Yes
S00285,20.70,73.00,59.40,Yes
S00286,0.20,69.40,62.10,Yes
S00287,9.20,63.50,72.90,No
S00288,12.90,81.90,57.60,Yes
S00289,11.40,47.70,81.00,No
S00290,6.90,91.00,93.10,Yes
S00291,9.00,63.30,89.50,Yes
S00292,7.50,116.30,68.80,No
S00293,7.10,68.70,56.40,No
S00294,14.20,65.40,56.00,No
S00295,11.80,63.70,59.50,Yes
S00296,6.50,65.60,52.20,Yes
S00297,14.50,87.10,71.20,No
S00298,11.50,74.20,,No
S00299,14.10,94.70,64.80,Yes
S00300,13.10,84.30,60.40,No
S00301,5.90,75.60,,Yes
S00302,7.20,82.50,68.80,No
S00303,13.70,98.90,59.70,Yes
S00304,13.10,88.10,62.80,Yes
S00305,9.90,80.60,62.80,No
S00306,10.60,83.50,75.10,Yes
S00307,16.40,51.90,53.30,No
S00308,7.00,126.40,58.00,Yes
S00309,12.70,85.60,36.50,Yes
S00310,9.00,87.60,48.90,No
S00311,8.90,,61.50,nan
S00312,15.50,29.00,58.40,Yes
S00313,14.10,69.70,35.60,No
S00314,14.10,76.50,72.90,Yes
S00315,16.50,58.50,51.80,No
S00316,10.10,,40.70,No
S00317,13.40,68.20,70.50,No
S00318,8.40,90.40,77.50,No
S00319,11.60,100.10,200.00,Yes
S00320,9.30,78.40,75.20,No
S00321,10.50,63.70,61.80,Yes
S00322,13.00,67.80,61.20,No
S00323,5.90,77.00,48.20,Yes
S00324,20.50,79.40,62.70,No
S00325,,83.70,63.60,nan
S00326,3.90,66.20,98.80,Yes
S00327,15.80,85.60,72.80,No
S00328,14.00,84.00,,No
S00329,13.10,67.10,82.70,Yes
S00330,13.10,40.60,78.30,Yes
S00331,9.90,57.30,43.20,Yes
S00332,5.50,106.40,74.90,Yes
S00333,10.40,41.10,66.50,Yes
S00334,6.60,101.40,54.50,No
S00335,14.90,40.40,49.50,Yes
S00336,9.30,59.50,62.80,Yes
S00337,5.90,67.50,64.80,Yes
S00338,8.40,110.60,82.20,No
S00339,12.10,75.50,31.20,No
S00340,7.20,70.70,46.10,Yes
S00341,5.90,56.30,67.90,Yes
S00342,11.20,85.40,62.90,No
S00343,11.20,64.70,66.70,Yes
S00344,7.50,70.40,58.10,No
S00345,7.60,67.80,68.70,Yes
S00346,11.20,89.40,41.20,Yes
S00347,2.80,90.20,96.50,No
S00348,3.00,57.20,71.30,No
S00349,6.40,62.50,71.90,No
S00350,8.90,60.50,49.00,No
S00351,11.60,78.70,,No
S00352,17.40,93.10,72.70,No
S00353,14.30,78.90,59.70,No
S00354,9.20,31.20,69.00,No
S00355,9.90,,53.30,Yes
S00356,5.00,48.00,44.90,Yes
S00357,9.90,60.70,81.70,Yes
S00358,8.60,79.00,51.60,No
S00359,11.60,73.30,78.60,No
S00360,5.90,92.50,52.40,Yes
S00361,12.60,62.80,,Yes
S00362,17.70,55.70,59.20,No
S00363,9.50,68.80,61.80,No
S00364,12.00,94.50,76.40,Yes
S00365,13.50,87.60,89.50,No
S00366,,76.70,62.10,No
S00367,-1.00,101.50,66.80,No
S00368,10.10,97.90,61.00,No
S00369,10.50,90.80,66.30,Yes
S00370,,51.40,54.20,No
S00371,10.10,90.70,49.50,Yes
S00372,12.50,71.00,69.90,Yes
S00373,17.30,,68.30,Yes
S00374,14.80,,82.00,Yes
S00375,20.80,71.60,65.70,Yes
S00376,6.20,62.50,64.30,Yes
S00377,14.40,78.40,72.80,No
S00378,10.90,71.50,200.00,Yes
S00379,20.90,79.40,62.60,No
S00380,6.00,86.10,26.40,No
S00381,5.80,69.10,49.20,No
S00382,7.00,60.30,81.10,No
S00383,-0.60,34.90,,Yes
S00384,7.40,90.40,85.00,Yes
S00385,6.20,76.60,58.40,No
S00386,10.80,71.50,60.10,No
S00387,11.70,98.40,76.10,Yes
S00388,19.40,49.20,74.00,No
S00389,,76.10,,Yes
S00390,7.10,55.70,65.60,Yes
S00391,5.50,88.10,64.20,No
S00392,12.50,30.50,47.70,No
S00393,3.40,91.10,56.00,No
S00394,19.20,90.30,69.00,Yes
S00395,15.90,56.50,61.70,No
S00396,7.70,76.30,79.00,No
S00397,,57.00,91.40,No
S00398,16.80,83.60,79.20,Yes
S00399,9.40,91.40,71.70,nan
S00400,16.20,54.90,62.80,nan
S00401,2.00,49.10,76.90,nan
S00402,7.00,96.90,55.70,No
S00403,,113.80,56.80,No
S00404,10.20,84.90,46.50,No
S00405,7.70,86.40,41.70,No
S00406,13.10,,84.20,Yes
S00407,4.70,78.60,69.00,No
S00408,9.30,82.00,73.00,No
S00409,10.60,71.30,63.10,No
S00410,12.60,,93.30,Yes
S00411,13.60,78.50,91.40,Yes
S00412,4.40,81.10,64.70,Yes
S00413,2.30,71.80,64.60,No
S00414,,73.80,61.70,Yes
S00415,11.70,,48.30,Yes
S00416,6.30,77.90,58.90,No
S00417,17.80,78.40,60.30,Yes
S00418,10.60,78.60,31.70,No
S00419,15.90,67.70,30.80,No
S00420,10.30,46.80,64.00,Yes
S00421,20.30,106.50,77.50,Yes
S00422,18.80,,53.40,Yes
S00423,8.80,100.00,91.20,No
S00424,14.90,53.50,60.80,Yes
S00425,13.20,103.90,52.30,No
S00426,16.80,114.30,43.60,Yes
S00427,5.20,95.90,66.50,No
S00428,,108.00,34.80,Yes
S00429,,91.00,53.80,Yes
S00430,1.20,58.10,65.70,No
S00431,4.10,,44.00,Yes
S00432,-0.20,,57.20,No
S00433,8.70,63.10,65.40,Yes
S00434,13.60,81.30,46.70,Yes
S00435,17.50,78.60,74.80,nan
S00436,,84.30,79.10,Yes
S00437,18.10,39.20,,Yes
S00438,3.10,,62.00,nan
S00439,1.50,86.00,63.10,Yes
S00440,9.70,90.00,70.20,No
S00441,11.90,91.30,60.50,Yes
S00442,9.80,80.00,54.20,Yes
S00443,-0.30,67.40,49.10,No
S00444,9.60,85.00,,Yes
S00445,3.50,69.00,56.30,No
S00446,13.30,93.00,,No
S00447,11.80,83.50,80.70,Yes
S00448,5.30,73.80,67.20,No
S00449,7.40,59.60,49.70,No
S00450,4.70,97.40,,nan
S00451,9.70,86.20,50.50,No
S00452,14.80,117.10,,No
S00453,-1.00,85.50,56.80,Yes
S00454,12.50,87.20,61.90,No
S00455,7.30,45.70,55.70,Yes
S00456,6.00,81.20,,Yes
S00457,9.50,68.70,74.80,Yes
S00458,4.80,91.50,54.40,Yes
S00459,7.20,81.70,62.40,No
S00460,4.00,94.70,57.90,Yes
S00461,19.80,117.70,50.20,Yes
S00462,10.20,59.00,67.40,No
S00463,6.50,93.90,36.80,No
S00464,11.10,88.70,50.60,Yes
S00465,9.40,114.60,,No
S00466,8.90,89.10,51.40,No
S00467,13.10,87.00,48.70,No
S00468,13.80,92.00,,No
S00469,7.30,93.40,60.60,Yes
S00470,7.10,104.10,59.40,Yes
S00471,8.60,58.60,64.80,No
S00472,-1.50,67.20,68.50,No
S00473,2.40,109.70,71.10,Yes
S00474,16.80,35.80,52.90,Yes
S00475,18.20,73.30,65.90,No
S00476,8.80,78.00,61.10,No
S00477,12.90,71.50,63.40,Yes
S00478,11.60,106.60,58.10,No
S00479,25.40,84.50,53.00,Yes
S00480,15.60,67.30,61.30,Yes
S00481,9.40,62.30,57.90,No
S00482,5.20,80.60,69.50,Yes
S00483,2.00,98.30,79.20,Yes
S00484,11.00,,50.90,No
S00485,,72.30,56.90,Yes
S00486,2.90,61.10,99.80,No
S00487,6.80,82.50,37.70,No
S00488,4.60,81.40,40.80,Yes
S00489,18.40,60.50,80.80,No
S00490,14.40,95.50,93.70,Yes
S00491,10.00,109.10,86.80,No
S00492,17.40,76.00,69.70,Yes
S00493,10.40,81.00,58.50,No
S00494,5.70,52.90,60.90,Yes
S00495,17.60,89.70,71.00,No
S00496,,84.30,79.00,Yes
S00497,4.80,68.50,73.00,Yes
S00498,9.00,60.10,34.80,No
S00499,5.60,112.00,47.40,No
S00500,3.10,82.70,69.20,Yes
S00501,14.60,56.60,44.20,nan
S00502,19.50,92.10,,No
S00503,3.00,79.60,78.10,Yes
S00504,12.80,76.20,68.90,Yes
S00505,6.70,94.60,88.20,No
S00506,7.60,,79.60,No
S00507,7.00,,55.70,Yes
S00508,5.70,102.60,68.70,No
S00509,10.20,72.40,53.10,Yes
S00510,5.80,66.50,40.80,Yes
S00511,11.40,48.20,82.90,Yes
S00512,9.70,78.90,62.10,Yes
S00513,8.80,81.30,85.20,No
S00514,5.50,103.80,66.60,No
S00515,7.10,82.40,69.20,Yes
S00516,13.80,68.90,73.70,No
S00517,12.50,83.10,62.20,No
S00518,5.10,97.20,61.40,Yes
S00519,10.50,92.80,68.60,No
S00520,13.80,87.40,83.70,Yes
S00521,1.70,80.50,72.60,nan
S00522,12.70,63.40,65.30,Yes
S00523,6.70,54.30,58.80,No
S00524,12.90,51.20,63.20,Yes
S00525,6.20,82.90,52.00,Yes
S00526,1.00,85.00,50.30,No
S00527,1.90,96.90,61.40,No
S00528,10.20,86.20,65.10,nan
S00529,11.30,96.00,75.90,Yes
S00530,5.50,72.40,48.10,No
S00531,13.20,90.40,65.20,Yes
S00532,1.70,55.00,,No
S00533,9.70,73.80,50.30,Yes
S00534,3.90,,58.10,No
S00535,6.70,75.60,76.40,No
S00536,10.20,99.50,64.10,Yes
S00537,5.70,76.40,34.70,No
S00538,8.10,89.40,76.60,No
S00539,15.00,80.50,66.30,Yes
S00540,7.10,63.60,,No
S00541,,71.30,51.80,Yes
S00542,4.40,98.60,63.10,No
S00543,12.60,89.30,69.70,No
S00544,17.20,62.60,80.40,Yes
S00545,-2.40,47.30,51.50,No
S00546,6.00,79.10,58.20,Yes
S00547,12.90,63.40,78.30,Yes
S00548,9.00,71.50,80.70,Yes
S00549,11.90,45.90,60.10,Yes
S00550,7.00,,57.00,No
S00551,10.40,73.10,72.50,Yes
S00552,9.20,76.10,,Yes
S00553,15.80,58.30,64.80,No
S00554,11.30,69.50,64.60,Yes
S00555,11.70,77.40,58.00,nan
S00556,7.90,62.70,72.10,No
S00557,7.60,70.70,81.40,No
S00558,7.80,102.70,50.40,Yes
S00559,12.00,40.00,54.10,Yes
S00560,,78.70,75.00,No
S00561,11.40,59.30,43.20,Yes
S00562,20.40,101.70,57.00,Yes
S00563,14.40,71.40,97.50,Yes
S00564,8.40,54.10,,No
S00565,16.00,,60.70,Yes
S00566,8.00,82.00,39.10,Yes
S00567,-0.20,,,Yes
S00568,5.00,32.80,80.90,No
S00569,0.60,51.00,47.50,No
S00570,8.20,101.10,65.70,Yes
S00571,10.10,44.80,84.10,No
S00572,18.40,75.20,57.50,Yes
S00573,11.60,65.30,58.10,Yes
S00574,8.90,62.20,75.40,Yes
S00575,14.10,,85.30,Yes
S00576,-1.10,68.30,77.70,Yes
S00577,11.20,,87.10,No
S00578,13.90,101.60,30.40,Yes
S00579,2.60,83.50,71.30,No
S00580,15.70,70.30,84.30,nan
S00581,11.70,80.20,71.80,No
S00582,7.90,91.10,62.80,No
S00583,13.20,95.00,46.60,nan
S00584,21.40,82.40,54.00,No
S00585,10.90,105.60,87.50,No
S00586,11.20,62.70,200.00,Yes
S00587,7.70,97.80,55.50,No
S00588,5.80,89.10,41.70,Yes
S00589,14.20,62.80,72.00,Yes
S00590,5.70,79.70,52.90,Yes
S00591,10.40,81.00,64.50,Yes
S00592,7.60,72.20,90.90,Yes
S00593,12.40,71.90,77.00,No
S00594,,44.50,84.60,No
S00595,15.20,61.20,67.20,No
S00596,7.40,70.20,75.70,Yes
S00597,8.70,,84.90,No
S00598,5.10,57.90,52.60,Yes
S00599,7.80,96.20,64.40,No
S00600,11.90,72.90,54.70,No
S00601,13.80,118.30,55.90,Yes
S00602,5.40,79.50,62.80,No
S00603,14.30,95.80,50.70,Yes
S00604,16.80,70.80,59.40,No
S00605,12.10,61.80,75.30,Yes
S00606,19.40,80.30,63.60,No
S00607,6.10,100.90,53.40,Yes
S00608,3.80,73.20,76.80,No
S00609,1.10,83.90,51.30,nan
S00610,17.50,80.20,48.40,Yes
S00611,13.30,73.00,83.00,No
S00612,9.70,74.10,77.70,No
S00613,11.40,55.00,59.90,No
S00614,4.40,74.80,93.40,No
S00615,22.20,88.10,56.50,Yes
S00616,10.60,80.90,75.20,No
S00617,10.50,78.70,41.30,No
S00618,13.60,89.50,49.80,Yes
S00619,12.40,78.90,,nan
S00620,11.10,75.30,86.30,nan
S00621,6.00,89.70,62.70,No
S00622,12.40,77.70,99.20,nan
S00623,19.40,70.30,84.60,No
S00624,16.70,84.40,54.60,No
S00625,18.00,74.30,59.30,Yes
S00626,7.40,69.40,44.20,No
S00627,5.10,78.10,58.40,No
S00628,9.40,78.30,68.60,Yes
S00629,10.30,52.90,65.60,Yes
S00630,15.50,81.70,65.50,nan
S00631,1.50,111.90,80.00,No
S00632,17.60,55.40,67.50,No
S00633,,64.90,75.30,Yes
S00634,7.90,130.60,71.70,nan
S00635,,58.60,69.30,Yes
S00636,1.70,100.70,78.80,No
S00637,14.10,70.40,77.00,No
S00638,10.40,76.20,200.00,Yes
S00639,3.60,,92.30,Yes
S00640,3.50,83.50,66.80,Yes
S00641,8.30,43.40,50.70,Yes
S00642,18.30,78.70,64.00,Yes
S00643,,66.90,68.90,Yes
S00644,2.50,37.70,73.80,Yes
S00645,8.80,97.40,79.40,nan
S00646,,32.80,76.50,No
S00647,-3.50,118.00,92.60,No
S00648,9.70,87.30,66.60,No
S00649,8.80,47.80,62.60,Yes
S00650,13.50,101.80,43.00,No
S00651,19.20,60.00,79.50,nan
S00652,15.60,60.90,74.10,Yes
S00653,,39.00,56.50,Yes
S00654,4.50,57.70,68.60,Yes
S00655,22.90,60.10,64.80,Yes
S00656,10.30,91.40,67.60,No
S00657,10.10,98.30,60.90,Yes
S00658,9.90,50.20,66.70,No
S00659,,80.40,42.20,No
S00660,9.30,38.20,58.90,Yes
S00661,7.10,80.50,69.60,Yes
S00662,7.30,118.20,,Yes
S00663,9.80,39.40,70.80,Yes
S00664,7.30,54.70,96.00,Yes
S00665,6.40,89.50,,No
S00666,10.50,91.90,37.50,Yes
S00667,8.70,56.20,83.10,No
S00668,17.50,104.50,96.40,Yes
S00669,-3.30,58.70,70.60,Yes
S00670,15.50,108.50,65.10,No
S00671,16.20,84.40,55.30,No
S00672,-0.40,100.40,73.10,Yes
S00673,8.30,82.40,64.80,Yes
S00674,,88.10,77.70,No
S00675,3.00,89.20,39.30,No
S00676,6.10,,69.90,No
S00677,4.40,,52.50,Yes
S00678,18.80,57.00,79.20,No
S00679,14.70,73.40,47.80,Yes
S00680,16.40,61.70,74.40,Yes
S00681,13.60,63.00,56.30,nan
S00682,4.40,108.10,58.50,Yes
S00683,7.40,87.50,77.70,Yes
S00684,12.40,86.50,,Yes
S00685,3.90,96.50,42.50,No
S00686,13.60,87.40,66.10,No
S00687,8.80,112.30,55.10,No
S00688,8.10,33.10,44.40,No
S00689,13.60,,70.30,No
S00690,12.20,61.00,69.30,No
S00691,8.20,47.50,66.80,No
S00692,15.80,77.30,72.60,Yes
S00693,4.60,78.20,35.10,Yes
S00694,13.10,114.50,53.60,Yes
S00695,13.00,93.10,69.20,No
S00696,8.50,64.80,80.50,No
S00697,11.60,84.90,68.60,No
S00698,3.70,,82.50,Yes
S00699,14.60,77.80,54.80,Yes
S00700,9.10,76.80,55.80,Yes
S00701,7.40,57.00,59.40,Yes
S00702,15.20,71.00,63.80,No
S00703,6.50,61.10,38.40,Yes
S00704,3.00,56.30,64.70,No
S00705,2.20,88.50,64.50,No
S00706,13.00,95.70,55.80,No
S00707,3.60,85.20,53.50,Yes
S00708,18.80,66.20,,No
S00709,-0.40,61.70,73.80,No
S00710,18.50,66.90,67.20,No
S00711,11.10,70.60,67.10,No
S00712,9.50,57.60,64.50,No
S00713,7.30,96.10,65.20,No
S00714,12.00,71.00,75.20,No
S00715,9.80,90.30,89.30,Yes
S00716,15.50,47.00,87.40,Yes
S00717,10.60,61.20,48.70,Yes
S00718,10.80,92.20,33.30,Yes
S00719,8.20,92.50,73.00,Yes
S00720,9.70,50.90,65.30,Yes
S00721,11.50,81.10,64.10,No
S00722,1.40,81.60,70.70,Yes
S00723,3.30,60.80,61.30,Yes
S00724,13.70,82.10,40.70,Yes
S00725,10.90,43.40,47.90,Yes
S00726,9.10,56.50,48.80,Yes
S00727,10.10,87.00,75.00,nan
S00728,11.70,75.60,93.30,No
S00729,7.30,76.60,58.00,No
S00730,6.10,71.50,104.00,Yes
S00731,11.00,85.70,36.60,No
S00732,5.10,86.70,57.40,No
S00733,12.00,90.80,67.70,No
S00734,1.50,77.50,26.70,No
S00735,15.10,67.20,87.80,No
S00736,12.40,63.90,54.60,Yes
S00737,11.30,53.90,65.50,No
S00738,14.90,66.90,71.70,No
S00739,18.30,62.90,41.10,No
S00740,15.10,107.00,101.50,No
S00741,0.80,54.10,67.00,Yes
S00742,3.60,95.70,59.90,No
S00743,6.90,69.60,48.30,nan
S00744,10.10,70.90,68.10,Yes
S00745,12.60,83.00,,No
S00746,6.40,,67.10,Yes
S00747,10.90,59.00,86.00,Yes
S00748,6.20,50.20,82.50,Yes
